#Note:D; Temperature:25Â°C
#f[Hz] Re(Z/Zc) Im(Z/Zc)
20 4.05022598e+0 -2.61242108e+1
22 3.51842684e+0 -2.39165830e+1
24 3.09376795e+0 -2.20544856e+1
26 2.74825432e+0 -2.04620147e+1
28 2.46265158e+0 -1.90840507e+1
30 2.22334923e+0 -1.78795855e+1
32 2.02047177e+0 -1.68174686e+1
34 1.84669727e+0 -1.58736067e+1
36 1.69649391e+0 -1.50290685e+1
38 1.56561257e+0 -1.42687693e+1
40 1.45074106e+0 -1.35805400e+1
42 1.34926341e+0 -1.29544531e+1
44 1.25908896e+0 -1.23823291e+1
46 1.17852896e+0 -1.18573666e+1
48 1.10620596e+0 -1.13738637e+1
50 1.04098642e+0 -1.09270039e+1
52 9.81929955e-1 -1.05126902e+1
54 9.28250502e-1 -1.01274156e+1
56 8.79286488e-1 -9.76816030e+0
58 8.34477532e-1 -9.43230957e+0
60 7.93346146e-1 -9.11758815e+0
62 7.55483216e-1 -8.82200665e+0
64 7.20536409e-1 -8.54381796e+0
66 6.88200819e-1 -8.28148134e+0
68 6.58211394e-1 -8.03363281e+0
70 6.30336744e-1 -7.79906038e+0
72 6.04374062e-1 -7.57668344e+0
74 5.80144921e-1 -7.36553539e+0
76 5.57491784e-1 -7.16474891e+0
78 5.36275095e-1 -6.97354352e+0
80 5.16370827e-1 -6.79121494e+0
82 4.97668426e-1 -6.61712596e+0
84 4.80069065e-1 -6.45069866e+0
86 4.63484154e-1 -6.29140759e+0
88 4.47834079e-1 -6.13877393e+0
90 4.33047116e-1 -5.99236045e+0
92 4.19058493e-1 -5.85176702e+0
94 4.05809586e-1 -5.71662674e+0
96 3.93247224e-1 -5.58660257e+0
98 3.81323079e-1 -5.46138430e+0
100 3.69993142e-1 -5.34068592e+0
102 3.59217259e-1 -5.22424329e+0
104 3.48958728e-1 -5.11181209e+0
106 3.39183944e-1 -5.00316593e+0
108 3.29862088e-1 -4.89809475e+0
110 3.20964850e-1 -4.79640337e+0
112 3.12466185e-1 -4.69791012e+0
114 3.04342097e-1 -4.60244574e+0
116 2.96570446e-1 -4.50985227e+0
118 2.89130779e-1 -4.41998213e+0
120 2.82004173e-1 -4.33269726e+0
122 2.75173104e-1 -4.24786835e+0
124 2.68621319e-1 -4.16537413e+0
126 2.62333731e-1 -4.08510073e+0
128 2.56296318e-1 -4.00694113e+0
130 2.50496034e-1 -3.93079463e+0
132 2.44920727e-1 -3.85656635e+0
134 2.39559073e-1 -3.78416681e+0
136 2.34400504e-1 -3.71351156e+0
138 2.29435151e-1 -3.64452076e+0
140 2.24653792e-1 -3.57711888e+0
142 2.20047800e-1 -3.51123441e+0
144 2.15609100e-1 -3.44679955e+0
146 2.11330131e-1 -3.38374996e+0
148 2.07203804e-1 -3.32202452e+0
150 2.03223472e-1 -3.26156512e+0
152 1.99382901e-1 -3.20231644e+0
154 1.95676235e-1 -3.14422580e+0
156 1.92097980e-1 -3.08724292e+0
158 1.88642971e-1 -3.03131983e+0
160 1.85306356e-1 -2.97641066e+0
162 1.82083577e-1 -2.92247155e+0
164 1.78970348e-1 -2.86946049e+0
166 1.75962641e-1 -2.81733721e+0
168 1.73056671e-1 -2.76606304e+0
170 1.70248879e-1 -2.71560086e+0
172 1.67535923e-1 -2.66591495e+0
174 1.64914666e-1 -2.61697092e+0
176 1.62382162e-1 -2.56873561e+0
178 1.59935649e-1 -2.52117702e+0
180 1.57572538e-1 -2.47426422e+0
182 1.55290408e-1 -2.42796730e+0
184 1.53086995e-1 -2.38225725e+0
186 1.50960188e-1 -2.33710597e+0
188 1.48908021e-1 -2.29248612e+0
190 1.46928667e-1 -2.24837112e+0
192 1.45020436e-1 -2.20473509e+0
194 1.43181769e-1 -2.16155275e+0
196 1.41411233e-1 -2.11879943e+0
198 1.39707519e-1 -2.07645096e+0
200 1.38069440e-1 -2.03448364e+0
202 1.36495927e-1 -1.99287422e+0
204 1.34986027e-1 -1.95159982e+0
206 1.33538903e-1 -1.91063789e+0
208 1.32153835e-1 -1.86996616e+0
210 1.30830213e-1 -1.82956262e+0
212 1.29567545e-1 -1.78940544e+0
214 1.28365452e-1 -1.74947296e+0
216 1.27223672e-1 -1.70974363e+0
218 1.26142058e-1 -1.67019594e+0
220 1.25120587e-1 -1.63080844e+0
222 1.24159355e-1 -1.59155962e+0
224 1.23258584e-1 -1.55242792e+0
226 1.22418629e-1 -1.51339166e+0
228 1.21639974e-1 -1.47442897e+0
230 1.20923248e-1 -1.43551780e+0
232 1.20269223e-1 -1.39663580e+0
234 1.19678824e-1 -1.35776031e+0
236 1.19153138e-1 -1.31886830e+0
238 1.18693421e-1 -1.27993628e+0
240 1.18301109e-1 -1.24094028e+0
242 1.17977831e-1 -1.20185576e+0
244 1.17725416e-1 -1.16265752e+0
246 1.17545916e-1 -1.12331970e+0
248 1.17441612e-1 -1.08381560e+0
250 1.17415039e-1 -1.04411769e+0
252 1.17469004e-1 -1.00419746e+0
254 1.17606604e-1 -9.64025331e-1
256 1.17831257e-1 -9.23570582e-1
258 1.18146723e-1 -8.82801204e-1
260 1.18557139e-1 -8.41683794e-1
262 1.19067052e-1 -8.00183415e-1
264 1.19681457e-1 -7.58263457e-1
266 1.20405838e-1 -7.15885476e-1
268 1.21246221e-1 -6.73009023e-1
270 1.22209226e-1 -6.29591457e-1
272 1.23302125e-1 -5.85587735e-1
274 1.24532916e-1 -5.40950185e-1
276 1.25910398e-1 -4.95628259e-1
278 1.27444259e-1 -4.49568248e-1
280 1.29145179e-1 -4.02712986e-1
282 1.31024938e-1 -3.55001498e-1
284 1.33096552e-1 -3.06368633e-1
286 1.35374417e-1 -2.56744633e-1
288 1.37874475e-1 -2.06054670e-1
290 1.40614416e-1 -1.54218317e-1
292 1.43613892e-1 -1.01148957e-1
294 1.46894780e-1 -4.67531230e-2
296 1.50481476e-1 9.07025302e-3
298 1.54401240e-1 6.64306807e-2
300 1.58684595e-1 1.25447068e-1
302 1.63365797e-1 1.86248808e-1
304 1.68483376e-1 2.48977010e-1
306 1.74080785e-1 3.13785915e-1
308 1.80207151e-1 3.80844504e-1
310 1.86918173e-1 4.50338359e-1
312 1.94277183e-1 5.22471793e-1
314 2.02356420e-1 5.97470323e-1
316 2.11238542e-1 6.75583529e-1
318 2.21018466e-1 7.57088390e-1
320 2.31805570e-1 8.42293171e-1
322 2.43726392e-1 9.31541985e-1
324 2.56927916e-1 1.02522017e+0
326 2.71581612e-1 1.12376061e+0
328 2.87888435e-1 1.22765131e+0
330 3.06085047e-1 1.33744434e+0
332 3.26451609e-1 1.45376660e+0
334 3.49321612e-1 1.57733275e+0
336 3.75094379e-1 1.70896088e+0
338 4.04251092e-1 1.84959150e+0
340 4.37375504e-1 2.00031078e+0
342 4.75180965e-1 2.16237903e+0
344 5.18546040e-1 2.33726591e+0
346 5.68561926e-1 2.52669396e+0
348 6.26596313e-1 2.73269293e+0
350 6.94380435e-1 2.95766750e+0
352 7.74129280e-1 3.20448218e+0
354 8.68709948e-1 3.47656750e+0
356 9.81880987e-1 3.77805233e+0
358 1.11863818e+0 4.11392705e+0
360 1.28572280e+0 4.49023968e+0
362 1.49238232e+0 4.91432007e+0
364 1.75153093e+0 5.39500667e+0
366 2.08155412e+0 5.94280091e+0
368 2.50916666e+0 6.56975294e+0
370 3.07400722e+0 7.28858992e+0
372 3.83607332e+0 8.10988653e+0
374 4.88758414e+0 9.03433999e+0
376 6.37065726e+0 1.00330132e+1
378 8.49765025e+0 1.09989099e+1
380 1.15478691e+1 1.16366791e+1
382 1.57316148e+1 1.12598245e+1
384 2.06524494e+1 8.66000221e+0
386 2.44058389e+1 2.90919471e+0
388 2.43730842e+1 -4.48128690e+0
390 2.06709685e+1 -1.01111161e+1
392 1.59234305e+1 -1.26744141e+1
394 1.18942574e+1 -1.31270694e+1
396 8.93121216e+0 -1.26071605e+1
398 6.83792638e+0 -1.17556235e+1
400 5.35720402e+0 -1.08530271e+1
402 4.29201628e+0 -1.00053191e+1
404 3.50900784e+0 -9.24448459e+0
406 2.92060897e+0 -8.57338178e+0
408 2.46918443e+0 -7.98446799e+0
410 2.11623755e+0 -7.46736816e+0
412 1.83555553e+0 -7.01179632e+0
414 1.60892375e+0 -6.60856164e+0
416 1.42343141e+0 -6.24980058e+0
418 1.26975373e+0 -5.92891326e+0
420 1.14103735e+0 -5.64040311e+0
422 1.03216364e+0 -5.37970063e+0
424 9.39252636e-1 -5.14300149e+0
426 8.59323170e-1 -4.92712803e+0
428 7.90055954e-1 -4.72941472e+0
430 7.29625876e-1 -4.54761500e+0
432 6.76581505e-1 -4.37982591e+0
434 6.29757316e-1 -4.22442749e+0
436 5.88208935e-1 -4.08003376e+0
438 5.51164793e-1 -3.94545321e+0
440 5.17989617e-1 -3.81965669e+0
442 4.88156595e-1 -3.70175127e+0
444 4.61225920e-1 -3.59095888e+0
446 4.36828121e-1 -3.48659871e+0
448 4.14650998e-1 -3.38807270e+0
450 3.94429292e-1 -3.29485354e+0
452 3.75936466e-1 -3.20647457e+0
454 3.58978115e-1 -3.12252145e+0
456 3.43386644e-1 -3.04262506e+0
458 3.29016948e-1 -2.96645557e+0
460 3.15742884e-1 -2.89371732e+0
462 3.03454371e-1 -2.82414459e+0
464 2.92054993e-1 -2.75749790e+0
466 2.81460010e-1 -2.69356083e+0
468 2.71594701e-1 -2.63213732e+0
470 2.62392975e-1 -2.57304938e+0
472 2.53796199e-1 -2.51613496e+0
474 2.45752209e-1 -2.46124627e+0
476 2.38214474e-1 -2.40824821e+0
478 2.31141379e-1 -2.35701703e+0
480 2.24495616e-1 -2.30743915e+0
482 2.18243660e-1 -2.25941010e+0
484 2.12355319e-1 -2.21283367e+0
486 2.06803345e-1 -2.16762104e+0
488 2.01563095e-1 -2.12369008e+0
490 1.96612241e-1 -2.08096475e+0
492 1.91930515e-1 -2.03937449e+0
494 1.87499487e-1 -1.99885375e+0
496 1.83302369e-1 -1.95934151e+0
498 1.79323846e-1 -1.92078091e+0
500 1.75549922e-1 -1.88311885e+0
502 1.71967794e-1 -1.84630570e+0
504 1.68565729e-1 -1.81029499e+0
506 1.65332965e-1 -1.77504316e+0
508 1.62259614e-1 -1.74050930e+0
510 1.59336586e-1 -1.70665492e+0
512 1.56555512e-1 -1.67344381e+0
514 1.53908681e-1 -1.64084181e+0
516 1.51388982e-1 -1.60881667e+0
518 1.48989850e-1 -1.57733789e+0
520 1.46705225e-1 -1.54637661e+0
522 1.44529503e-1 -1.51590543e+0
524 1.42457503e-1 -1.48589837e+0
526 1.40484433e-1 -1.45633071e+0
528 1.38605858e-1 -1.42717891e+0
530 1.36817674e-1 -1.39842054e+0
532 1.35116082e-1 -1.37003416e+0
534 1.33497566e-1 -1.34199928e+0
536 1.31958875e-1 -1.31429628e+0
538 1.30497000e-1 -1.28690633e+0
540 1.29109163e-1 -1.25981136e+0
542 1.27792796e-1 -1.23299397e+0
544 1.26545535e-1 -1.20643740e+0
546 1.25365199e-1 -1.18012547e+0
548 1.24249787e-1 -1.15404254e+0
550 1.23197462e-1 -1.12817348e+0
552 1.22206546e-1 -1.10250358e+0
554 1.21275510e-1 -1.07701859e+0
556 1.20402968e-1 -1.05170461e+0
558 1.19587667e-1 -1.02654810e+0
560 1.18828488e-1 -1.00153582e+0
562 1.18124434e-1 -9.76654831e-1
564 1.17474630e-1 -9.51892428e-1
566 1.16878316e-1 -9.27236141e-1
568 1.16334846e-1 -9.02673693e-1
570 1.15843687e-1 -8.78192973e-1
572 1.15404410e-1 -8.53782017e-1
574 1.15016696e-1 -8.29428975e-1
576 1.14680330e-1 -8.05122093e-1
578 1.14395203e-1 -7.80849682e-1
580 1.14161307e-1 -7.56600098e-1
582 1.13978741e-1 -7.32361718e-1
584 1.13847710e-1 -7.08122914e-1
586 1.13768522e-1 -6.83872030e-1
588 1.13741594e-1 -6.59597359e-1
590 1.13767453e-1 -6.35287118e-1
592 1.13846738e-1 -6.10929422e-1
594 1.13980203e-1 -5.86512262e-1
596 1.14168721e-1 -5.62023476e-1
598 1.14413286e-1 -5.37450727e-1
600 1.14715024e-1 -5.12781470e-1
602 1.15075190e-1 -4.88002932e-1
604 1.15495180e-1 -4.63102074e-1
606 1.15976536e-1 -4.38065568e-1
608 1.16520954e-1 -4.12879762e-1
610 1.17130292e-1 -3.87530648e-1
612 1.17806578e-1 -3.62003827e-1
614 1.18552025e-1 -3.36284471e-1
616 1.19369037e-1 -3.10357286e-1
618 1.20260225e-1 -2.84206471e-1
620 1.21228421e-1 -2.57815673e-1
622 1.22276692e-1 -2.31167942e-1
624 1.23408358e-1 -2.04245680e-1
626 1.24627012e-1 -1.77030590e-1
628 1.25936536e-1 -1.49503616e-1
630 1.27341132e-1 -1.21644886e-1
632 1.28845340e-1 -9.34336443e-2
634 1.30454071e-1 -6.48481798e-2
636 1.32172633e-1 -3.58657528e-2
638 1.34006771e-1 -6.46251043e-3
640 1.35962703e-1 2.33866015e-2
642 1.38047159e-1 5.37079357e-2
644 1.40267433e-1 8.45292481e-2
646 1.42631434e-1 1.15879812e-1
648 1.45147740e-1 1.47790544e-1
650 1.47825670e-1 1.80294135e-1
652 1.50675350e-1 2.13425208e-1
654 1.53707800e-1 2.47220470e-1
656 1.56935021e-1 2.81718897e-1
658 1.60370097e-1 3.16961928e-1
660 1.64027316e-1 3.52993680e-1
662 1.67922290e-1 3.89861186e-1
664 1.72072112e-1 4.27614655e-1
666 1.76495512e-1 4.66307763e-1
668 1.81213052e-1 5.05997973e-1
670 1.86247335e-1 5.46746889e-1
672 1.91623250e-1 5.88620652e-1
674 1.97368250e-1 6.31690380e-1
676 2.03512666e-1 6.76032652e-1
678 2.10090075e-1 7.21730065e-1
680 2.17137717e-1 7.68871837e-1
682 2.24696976e-1 8.17554497e-1
684 2.32813944e-1 8.67882657e-1
686 2.41540060e-1 9.19969880e-1
688 2.50932873e-1 9.73939658e-1
690 2.61056915e-1 1.02992652e+0
692 2.71984732e-1 1.08807728e+0
694 2.83798098e-1 1.14855248e+0
696 2.96589438e-1 1.21152797e+0
698 3.10463521e-1 1.27719682e+0
700 3.25539465e-1 1.34577134e+0
702 3.41953135e-1 1.41748559e+0
704 3.59860016e-1 1.49259806e+0
706 3.79438667e-1 1.57139493e+0
708 4.00894904e-1 1.65419369e+0
710 4.24466884e-1 1.74134741e+0
712 4.50431308e-1 1.83324956e+0
714 4.79111052e-1 1.93033976e+0
716 5.10884582e-1 2.03311025e+0
718 5.46197664e-1 2.14211349e+0
720 5.85577992e-1 2.25797090e+0
722 6.29653606e-1 2.38138298e+0
724 6.79176223e-1 2.51314086e+0
726 7.35051008e-1 2.65413953e+0
728 7.98374845e-1 2.80539265e+0
730 8.70485904e-1 2.96804902e+0
732 9.53028368e-1 3.14341001e+0
734 1.04803762e+0 3.33294721e+0
736 1.15805328e+0 3.53831813e+0
738 1.28627049e+0 3.76137612e+0
740 1.43674379e+0 4.00416751e+0
742 1.61466407e+0 4.26890309e+0
744 1.82673670e+0 4.55788102e+0
746 2.08169950e+0 4.87332008e+0
748 2.39103129e+0 5.21702966e+0
750 2.76991206e+0 5.58978478e+0
752 3.23849240e+0 5.99017054e+0
754 3.82347993e+0 6.41247914e+0
756 4.55986784e+0 6.84294042e+0
758 5.49210988e+0 7.25311911e+0
760 6.67273499e+0 7.58885553e+0
762 8.15350045e+0 7.75343965e+0
764 9.95910696e+0 7.58746944e+0
766 1.20293915e+1 6.86126381e+0
768 1.41300172e+1 5.32371725e+0
770 1.57988473e+1 2.86481153e+0
772 1.64862144e+1 -2.57879158e-1
774 1.59231604e+1 -3.40536708e+0
776 1.43530525e+1 -5.92846160e+0
778 1.23149480e+1 -7.54793892e+0
780 1.02750514e+1 -8.35541067e+0
782 8.47750757e+0 -8.59254123e+0
784 6.99153678e+0 -8.48649285e+0
786 5.79875737e+0 -8.19755018e+0
788 4.85126471e+0 -7.82441108e+0
790 4.09870034e+0 -7.42327715e+0
792 3.49776004e+0 -7.02432091e+0
794 3.01401561e+0 -6.64268459e+0
796 2.62100137e+0 -6.28512570e+0
798 2.29863541e+0 -5.95385268e+0
800 2.03171705e+0 -5.64868932e+0
802 1.80870373e+0 -5.36827972e+0
804 1.62077604e+0 -5.11075076e+0
806 1.46114263e+0 -4.87406989e+0
808 1.32452911e+0 -4.65623216e+0
810 1.20680316e+0 -4.45535220e+0
812 1.10469894e+0 -4.26970362e+0
814 1.01561343e+0 -4.09772990e+0
816 9.37454800e-1 -3.93804045e+0
818 8.68528906e-1 -3.78939935e+0
820 8.07453408e-1 -3.65071111e+0
822 7.53092421e-1 -3.52100575e+0
824 7.04506324e-1 -3.39942433e+0
826 6.60912938e-1 -3.28520563e+0
828 6.21657247e-1 -3.17767414e+0
830 5.86187632e-1 -3.07622937e+0
832 5.54037069e-1 -2.98033655e+0
834 5.24808162e-1 -2.88951839e+0
836 4.98161143e-1 -2.80334800e+0
838 4.73804213e-1 -2.72144274e+0
840 4.51485686e-1 -2.64345885e+0
842 4.30987604e-1 -2.56908682e+0
844 4.12120485e-1 -2.49804733e+0
846 3.94719003e-1 -2.43008780e+0
848 3.78638411e-1 -2.36497929e+0
850 3.63751559e-1 -2.30251388e+0
852 3.49946405e-1 -2.24250235e+0
854 3.37123930e-1 -2.18477211e+0
856 3.25196372e-1 -2.12916548e+0
858 3.14085740e-1 -2.07553809e+0
860 3.03722549e-1 -2.02375750e+0
862 2.94044739e-1 -1.97370199e+0
864 2.84996758e-1 -1.92525953e+0
866 2.76528767e-1 -1.87832676e+0
868 2.68595961e-1 -1.83280820e+0
870 2.61157984e-1 -1.78861546e+0
872 2.54178415e-1 -1.74566663e+0
874 2.47624331e-1 -1.70388559e+0
876 2.41465922e-1 -1.66320158e+0
878 2.35676155e-1 -1.62354866e+0
880 2.30230480e-1 -1.58486526e+0
882 2.25106575e-1 -1.54709388e+0
884 2.20284120e-1 -1.51018064e+0
886 2.15744596e-1 -1.47407502e+0
888 2.11471112e-1 -1.43872960e+0
890 2.07448252e-1 -1.40409971e+0
892 2.03661931e-1 -1.37014331e+0
894 2.00099284e-1 -1.33682067e+0
896 1.96748547e-1 -1.30409426e+0
898 1.93598971e-1 -1.27192851e+0
900 1.90640733e-1 -1.24028968e+0
902 1.87864858e-1 -1.20914572e+0
904 1.85263157e-1 -1.17846608e+0
906 1.82828163e-1 -1.14822165e+0
908 1.80553080e-1 -1.11838459e+0
910 1.78431736e-1 -1.08892825e+0
912 1.76458538e-1 -1.05982706e+0
914 1.74628438e-1 -1.03105644e+0
916 1.72936902e-1 -1.00259269e+0
918 1.71379876e-1 -9.74412965e-1
920 1.69953765e-1 -9.46495121e-1
922 1.68655411e-1 -9.18817703e-1
924 1.67482073e-1 -8.91359848e-1
926 1.66431413e-1 -8.64101224e-1
928 1.65501484e-1 -8.37021971e-1
930 1.64690716e-1 -8.10102636e-1
932 1.63997915e-1 -7.83324119e-1
934 1.63422252e-1 -7.56667612e-1
936 1.62963265e-1 -7.30114551e-1
938 1.62620856e-1 -7.03646555e-1
940 1.62395296e-1 -6.77245378e-1
942 1.62287227e-1 -6.50892856e-1
944 1.62297672e-1 -6.24570852e-1
946 1.62428047e-1 -5.98261206e-1
948 1.62680170e-1 -5.71945682e-1
950 1.63056279e-1 -5.45605913e-1
952 1.63559053e-1 -5.19223347e-1
954 1.64191633e-1 -4.92779191e-1
956 1.64957652e-1 -4.66254351e-1
958 1.65861260e-1 -4.39629376e-1
960 1.66907167e-1 -4.12884390e-1
962 1.68100679e-1 -3.85999028e-1
964 1.69447747e-1 -3.58952370e-1
966 1.70955017e-1 -3.31722862e-1
968 1.72629893e-1 -3.04288242e-1
970 1.74480606e-1 -2.76625457e-1
972 1.76516289e-1 -2.48710573e-1
974 1.78747063e-1 -2.20518681e-1
976 1.81184144e-1 -1.92023797e-1
978 1.83839949e-1 -1.63198751e-1
980 1.86728227e-1 -1.34015068e-1
982 1.89864208e-1 -1.04442844e-1
984 1.93264766e-1 -7.44506029e-2
986 1.96948613e-1 -4.40051522e-2
988 2.00936515e-1 -1.30714171e-2
990 2.05251544e-1 1.83877338e-2
992 2.09919363e-1 5.04116805e-2
994 2.14968556e-1 8.30422583e-2
996 2.20431010e-1 1.16323983e-1
998 2.26342352e-1 1.50304295e-1
1000 2.32742461e-1 1.85033821e-1
1002 2.39676060e-1 2.20566662e-1
1004 2.47193398e-1 2.56960692e-1
1006 2.55351062e-1 2.94277889e-1
1008 2.64212912e-1 3.32584678e-1
1010 2.73851183e-1 3.71952290e-1
1012 2.84347789e-1 4.12457143e-1
1014 2.95795849e-1 4.54181212e-1
1016 3.08301506e-1 4.97212406e-1
1018 3.21986073e-1 5.41644915e-1
1020 3.36988598e-1 5.87579504e-1
1022 3.53468919e-1 6.35123722e-1
1024 3.71611316e-1 6.84391972e-1
1026 3.91628903e-1 7.35505354e-1
1028 4.13768888e-1 7.88591192e-1
